gkz,ort,lat,lon
08115001,Aidlingen,48.67914962768555,8.897330284118652
08115002,Altdorf,48.594120025634766,9.271659851074219
08115003,Böblingen,48.68537139892578,9.009610176086426
08115004,Bondorf,48.522518157958984,8.837149620056152
08115010,Deckenpfronn,48.64970016479492,8.818389892578125
08115013,Ehningen,48.65851974487305,8.940779685974121
08115015,Gärtringen,48.64255905151367,8.893810272216797
08115016,Gäufelden,48.55284118652344,8.819560050964355
08115021,Herrenberg,48.595149993896484,8.86793041229248
08115022,Hildrizhausen,48.62480163574219,8.969160079956055
08115024,Holzgerlingen,48.636661529541016,9.01179027557373
08115028,Leonberg,48.801719665527344,9.014309883117676
08115029,Magstadt,48.74224090576172,8.962980270385742
08115034,Mötzingen,48.53413009643555,8.775369644165039
08115037,Nufringen,48.623321533203125,8.893110275268555
08115041,Renningen,48.76457977294922,8.934240341186523
08115042,Rutesheim,48.8084716796875,8.9435396194458
08115044,Schönaich,48.66020965576172,9.059479713439941
08115045,Sindelfingen,48.707889556884766,9.001970291137695
08115046,Steinenbronn,48.659950256347656,9.11968994140625
08115048,Waldenbuch,48.63846969604492,9.130979537963867
08115050,Weil der Stadt,48.751930236816406,8.873769760131836
08115051,Weil im Schönbuch,48.62282943725586,9.061650276184082
08115052,Weissach,48.84832000732422,8.92529010772705
08115053,Jettingen,48.56502151489258,8.782710075378418
08115054,Grafenau,48.711368560791016,8.912989616394043
08116004,Altbach,48.723480224609375,9.380020141601562
08116005,Altdorf,48.594120025634766,9.271659851074219
08116006,Altenriet,48.59199142456055,9.221770286560059
08116007,Baltmannsweiler,48.74232864379883,9.448909759521484
08116008,Bempflingen,48.5731315612793,9.26548957824707
08116011,Beuren,48.569358825683594,9.403860092163086
08116012,Bissingen an der Teck,48.60044860839844,9.491259574890137
08116014,Deizisau,48.71232986450195,9.383190155029297
08116015,Denkendorf,48.694271087646484,9.317680358886719
08116016,Dettingen unter Teck,48.620460510253906,9.453740119934082
08116018,Erkenbrechtsweiler,48.557830810546875,9.432849884033203
08116019,Esslingen am Neckar,48.74237823486328,9.305919647216797
08116020,Frickenhausen,48.59347152709961,9.359310150146484
08116022,Großbettlingen,48.590518951416016,9.30912971496582
08116027,Hochdorf,48.02511978149414,9.786910057067871
08116029,Holzmaden,48.633731842041016,9.518369674682617
08116033,Kirchheim unter Teck,48.64604949951172,9.452289581298828
08116035,Köngen,48.68193054199219,9.3618803024292
08116036,Kohlberg,48.559410095214844,9.332759857177734
08116037,Lichtenwald,48.751800537109375,9.483389854431152
08116041,Neckartailfingen,48.61162185668945,9.263609886169434
08116042,Neckartenzlingen,48.59008026123047,9.23859977722168
08116043,Neidlingen,48.57875061035156,9.564709663391113
08116046,Neuffen,48.554649353027344,9.375709533691406
08116047,Neuhausen auf den Fildern,48.68367004394531,9.278949737548828
08116048,Notzingen,48.67094039916992,9.456870079040527
08116049,Nürtingen,48.62662887573242,9.341919898986816
08116050,Oberboihingen,48.647560119628906,9.365739822387695
08116053,Ohmden,48.645450592041016,9.524620056152344
08116054,Owen,48.5872917175293,9.450779914855957
08116056,Plochingen,48.70962905883789,9.41804027557373
08116058,Reichenbach an der Fils,48.71126937866211,9.459670066833496
08116063,Schlaitdorf,48.605010986328125,9.224320411682129
08116068,Unterensingen,48.65544128417969,9.35519027709961
08116070,Weilheim an der Teck,48.61812973022461,9.540539741516113
08116071,Wendlingen am Neckar,48.67247009277344,9.379220008850098
08116072,Wernau (Neckar),48.68918991088867,9.422750473022461
08116073,Wolfschlugen,48.65319061279297,9.288410186767578
08116076,Aichwald,48.75938034057617,9.380459785461426
08116077,Filderstadt,48.678260803222656,9.216150283813477
08116078,Leinfelden-Echterdingen,48.68833923339844,9.16903018951416
08116079,Lenningen,48.556461334228516,9.467940330505371
